vehicle_unit_capacity,shipment_id,shipment_name,origin_location_name,destination_location_name,origin_location_id,destination_location_id,departing_origin_date,arriving_destination_date,origin_location_geohash,destination_location_geohash,vehicle_id,vehicle_name,total_unit_quantity,status
20000,014ff88d-0114-4764-853b-20d854d1d3b5,Shipment 1,St. Louis Facility,Chicago Facility,location-st_louis,location-chicago,2024-04-08,2024-04-22,"38.684780,-90.216816","41.893911,-87.735365",vehicle-001,Vehicle 1,10000,Scheduled
15000,070f4679-ed17-47bf-a2c6-b76d56b1e38e,Shipment 2,St. Louis Facility,Houston Facility,location-st_louis,location-houston,2024-04-09,2024-04-24,"38.684780,-90.216816","29.847678,-95.584652",vehicle-002,Vehicle 2,5000,Scheduled
10000,09a15352-00b9-4c42-b4ea-c095b893da4a,Shipment 3,St. Louis Facility,New York Facility,location-st_louis,location-new_york,2024-04-07,2024-04-24,"38.684780,-90.216816","40.729498,-73.707367",vehicle-003,Vehicle 3,1000,Scheduled
15000,0ce11fde-e7d0-4610-a1ec-13bdb5decea7,Shipment 4,Chicago Facility,New York Facility,location-chicago,location-new_york,2024-04-09,2024-04-23,"41.893911,-87.735365","40.729498,-73.707367",vehicle-004,Vehicle 4,6000,Scheduled
30000,1052f49d-67f0-4413-a422-4e692490b6ba,Shipment 5,Houston Facility,Chicago Facility,location-houston,location-chicago,2024-04-10,2024-04-26,"29.847678,-95.584652","41.893911,-87.735365",vehicle-005,Vehicle 5,13000,Scheduled
20000,14aba90a-e2e6-407f-946e-607e1e077874,Shipment 6,Houston Facility,Chicago Facility,location-houston,location-chicago,2024-04-09,2024-04-27,"29.847678,-95.584652","41.893911,-87.735365",vehicle-006,Vehicle 6,10000,Scheduled
35000,1aaf01e6-eb7f-4b71-ae71-3db35be62e48,Shipment 7,St. Louis Facility,Houston Facility,location-st_louis,location-houston,2024-04-09,2024-04-20,"38.684780,-90.216816","29.847678,-95.584652",vehicle-007,Vehicle 7,25000,Scheduled
20000,1f93d6a7-111f-4084-8bfc-99cfc9416b1b,Shipment 8,St. Louis Facility,Houston Facility,location-st_louis,location-houston,2024-04-08,2024-04-24,"38.684780,-90.216816","29.847678,-95.584652",vehicle-008,Vehicle 8,9000,Scheduled
35000,219bae24-eb03-40db-b957-6eb650ffb016,Shipment 9,St. Louis Facility,New York Facility,location-st_louis,location-new_york,2024-04-10,2024-04-22,"38.684780,-90.216816","40.729498,-73.707367",vehicle-009,Vehicle 9,27000,Scheduled
30000,25394a95-cbb8-463e-969c-a58d1774b4b8,Shipment 10,Houston Facility,Chicago Facility,location-houston,location-chicago,2024-04-10,2024-04-24,"29.847678,-95.584652","41.893911,-87.735365",vehicle-010,Vehicle 10,16000,Scheduled
20000,298d6e0c-0135-4eff-b1e7-47eb4459f472,Shipment 11,New York Facility,Chicago Facility,location-new_york,location-chicago,2024-04-10,2024-04-24,"40.729498,-73.707367","41.893911,-87.735365",vehicle-011,Vehicle 11,12000,Scheduled
15000,3332d117-2f03-45f6-a0bf-9dc0caf5f4b3,Shipment 12,Houston Facility,Chicago Facility,location-houston,location-chicago,2024-04-09,2024-04-24,"29.847678,-95.584652","41.893911,-87.735365",vehicle-012,Vehicle 12,8000,Scheduled
25000,3697d32e-79a5-4a3a-bb1e-c8e6c2041f52,Shipment 13,Houston Facility,Chicago Facility,location-houston,location-chicago,2024-04-08,2024-04-24,"29.847678,-95.584652","41.893911,-87.735365",vehicle-013,Vehicle 13,11000,Scheduled
15000,3a4b7c0f-8ebd-4ece-b9d8-de0448f521b6,Shipment 14,Houston Facility,New York Facility,location-houston,location-new_york,2024-04-09,2024-04-20,"29.847678,-95.584652","40.729498,-73.707367",vehicle-014,Vehicle 14,5000,Scheduled
20000,3d760587-aaad-44fe-8633-6de29590adb3,Shipment 15,St. Louis Facility,Chicago Facility,location-st_louis,location-chicago,2024-04-09,2024-04-24,"38.684780,-90.216816","41.893911,-87.735365",vehicle-015,Vehicle 15,8000,Scheduled
25000,3eb6b189-e095-4421-b31a-6dd8e9891ba5,Shipment 16,Houston Facility,Chicago Facility,location-houston,location-chicago,2024-04-08,2024-04-20,"29.847678,-95.584652","41.893911,-87.735365",vehicle-016,Vehicle 16,11000,Scheduled
15000,43ccb6fb-6fca-46d9-aabb-e798a74e4961,Shipment 17,Houston Facility,Chicago Facility,location-houston,location-chicago,2024-04-08,2024-04-24,"29.847678,-95.584652","41.893911,-87.735365",vehicle-017,Vehicle 17,5000,Scheduled
20000,45ac015a-92fd-45ee-a0f3-bceb9bb00e11,Shipment 18,Chicago Facility,St. Louis Facility,location-chicago,location-st_louis,2024-04-10,2024-04-26,"41.893911,-87.735365","38.684780,-90.216816",vehicle-018,Vehicle 18,9000,Scheduled
15000,45da843c-ab60-4c71-9a1e-024478dd1b0d,Shipment 19,Houston Facility,St. Louis Facility,location-houston,location-st_louis,2024-04-09,2024-04-20,"29.847678,-95.584652","38.684780,-90.216816",vehicle-019,Vehicle 19,8000,Scheduled
20000,46516c7a-33e5-4b2a-a37a-70bdc085823d,Shipment 20,St. Louis Facility,Houston Facility,location-st_louis,location-houston,2024-04-09,2024-04-25,"38.684780,-90.216816","29.847678,-95.584652",vehicle-020,Vehicle 20,9000,Scheduled
25000,486d8184-2486-4349-bdc9-9040904d04d3,Shipment 21,St. Louis Facility,Chicago Facility,location-st_louis,location-chicago,2024-04-10,2024-04-24,"38.684780,-90.216816","41.893911,-87.735365",vehicle-021,Vehicle 21,16000,Scheduled
30000,4875fac9-3a3a-40b1-b36c-ec26a35886f8,Shipment 22,Chicago Facility,New York Facility,location-chicago,location-new_york,2024-04-09,2024-04-29,"41.893911,-87.735365","40.729498,-73.707367",vehicle-022,Vehicle 22,21000,Scheduled
30000,48f8d65e-9e5c-4cdd-b814-9a183b20e157,Shipment 23,St. Louis Facility,Chicago Facility,location-st_louis,location-chicago,2024-04-09,2024-04-21,"38.684780,-90.216816","41.893911,-87.735365",vehicle-023,Vehicle 23,12000,Scheduled
20000,4948f486-2041-43cf-9da6-d651bed11776,Shipment 24,St. Louis Facility,Houston Facility,location-st_louis,location-houston,2024-04-09,2024-04-22,"38.684780,-90.216816","29.847678,-95.584652",vehicle-024,Vehicle 24,7000,Scheduled
15000,4e1f7112-6e1b-4b30-a3f8-4b4dd0ff14b4,Shipment 25,St. Louis Facility,New York Facility,location-st_louis,location-new_york,2024-04-10,2024-04-24,"38.684780,-90.216816","40.729498,-73.707367",vehicle-025,Vehicle 25,7000,Scheduled
25000,520ab753-6f6c-435e-824e-99a88035fe8f,Shipment 26,Chicago Facility,Houston Facility,location-chicago,location-houston,2024-04-10,2024-04-22,"41.893911,-87.735365","29.847678,-95.584652",vehicle-026,Vehicle 26,17000,Scheduled
10000,538c35bd-6a94-451e-8985-6ff1cee9452c,Shipment 27,Houston Facility,New York Facility,location-houston,location-new_york,2024-04-09,2024-04-24,"29.847678,-95.584652","40.729498,-73.707367",vehicle-027,Vehicle 27,3000,Scheduled
20000,5c4010c8-1467-4e50-9390-fe66facf82dc,Shipment 28,New York Facility,St. Louis Facility,location-new_york,location-st_louis,2024-04-09,2024-04-23,"40.729498,-73.707367","38.684780,-90.216816",vehicle-028,Vehicle 28,12000,Scheduled
20000,5d170f5a-0300-45d4-93a3-c8ac7a8a87a6,Shipment 29,Chicago Facility,New York Facility,location-chicago,location-new_york,2024-04-09,2024-04-21,"41.893911,-87.735365","40.729498,-73.707367",vehicle-029,Vehicle 29,10000,Scheduled
15000,5d3b7d94-46c7-4bd0-968c-88c66c607b3b,Shipment 30,New York Facility,Houston Facility,location-new_york,location-houston,2024-04-10,2024-04-29,"40.729498,-73.707367","29.847678,-95.584652",vehicle-030,Vehicle 30,8000,Scheduled
20000,5d4e0571-e718-4da8-9d99-e9face7dd172,Shipment 31,St. Louis Facility,New York Facility,location-st_louis,location-new_york,2024-04-10,2024-04-24,"38.684780,-90.216816","40.729498,-73.707367",vehicle-031,Vehicle 31,10000,Scheduled
30000,5e637986-6039-41c7-89dc-d63f31954a75,Shipment 32,St. Louis Facility,Chicago Facility,location-st_louis,location-chicago,2024-04-09,2024-04-23,"38.684780,-90.216816","41.893911,-87.735365",vehicle-032,Vehicle 32,12000,Scheduled
10000,5f41c821-bbb3-4bab-9812-28b7345b3143,Shipment 33,St. Louis Facility,New York Facility,location-st_louis,location-new_york,2024-04-08,2024-04-25,"38.684780,-90.216816","40.729498,-73.707367",vehicle-033,Vehicle 33,3000,Scheduled
25000,628d88ac-40e2-47d1-8515-94066ba8ebc8,Shipment 34,New York Facility,Chicago Facility,location-new_york,location-chicago,2024-04-08,2024-04-21,"40.729498,-73.707367","41.893911,-87.735365",vehicle-034,Vehicle 34,15000,Scheduled
30000,69d6e139-ecac-4c7a-9e64-815696c7b351,Shipment 35,Houston Facility,New York Facility,location-houston,location-new_york,2024-04-09,2024-04-24,"29.847678,-95.584652","40.729498,-73.707367",vehicle-035,Vehicle 35,14000,Scheduled
10000,6a663c1f-302a-420e-8ad0-f49ce2c97a40,Shipment 36,Chicago Facility,Houston Facility,location-chicago,location-houston,2024-04-08,2024-04-22,"41.893911,-87.735365","29.847678,-95.584652",vehicle-036,Vehicle 36,2000,Scheduled
15000,70d877b8-19ed-4318-8e4c-2d57e6db4761,Shipment 37,Chicago Facility,Houston Facility,location-chicago,location-houston,2024-04-08,2024-04-28,"41.893911,-87.735365","29.847678,-95.584652",vehicle-037,Vehicle 37,9000,Scheduled
15000,759eadfc-8414-48e0-87c6-b8ba305a9a89,Shipment 38,St. Louis Facility,New York Facility,location-st_louis,location-new_york,2024-04-09,2024-04-25,"38.684780,-90.216816","40.729498,-73.707367",vehicle-038,Vehicle 38,6000,Scheduled
25000,80fe0ecb-55af-46c2-b923-516a8a20399d,Shipment 39,Houston Facility,New York Facility,location-houston,location-new_york,2024-04-08,2024-04-27,"29.847678,-95.584652","40.729498,-73.707367",vehicle-039,Vehicle 39,15000,Scheduled
10000,81a4472a-ba53-448b-b52c-c120de69f9fd,Shipment 40,St. Louis Facility,New York Facility,location-st_louis,location-new_york,2024-04-10,2024-04-21,"38.684780,-90.216816","40.729498,-73.707367",vehicle-040,Vehicle 40,1000,Scheduled
20000,824041c7-6d97-43cd-b7c7-e85d6bc799f3,Shipment 41,St. Louis Facility,New York Facility,location-st_louis,location-new_york,2024-04-09,2024-04-21,"38.684780,-90.216816","40.729498,-73.707367",vehicle-041,Vehicle 41,14000,Scheduled
10000,847a1c38-a41c-47e0-b8c0-78c9a761a0e3,Shipment 42,St. Louis Facility,Houston Facility,location-st_louis,location-houston,2024-04-10,2024-04-26,"38.684780,-90.216816","29.847678,-95.584652",vehicle-042,Vehicle 42,3000,Scheduled
15000,84c23502-0c17-459b-ab7d-7cac805a5a0b,Shipment 43,St. Louis Facility,Chicago Facility,location-st_louis,location-chicago,2024-04-09,2024-04-23,"38.684780,-90.216816","41.893911,-87.735365",vehicle-043,Vehicle 43,7000,Scheduled
25000,87057664-f831-4bc3-9734-67b0d56cc376,Shipment 44,Houston Facility,Chicago Facility,location-houston,location-chicago,2024-04-10,2024-04-28,"29.847678,-95.584652","41.893911,-87.735365",vehicle-044,Vehicle 44,10000,Scheduled
15000,8858111f-1e40-487a-94d3-ee1ee0c84496,Shipment 45,St. Louis Facility,New York Facility,location-st_louis,location-new_york,2024-04-11,2024-04-19,"38.684780,-90.216816","40.729498,-73.707367",vehicle-045,Vehicle 45,5000,Scheduled
20000,8aacd58a-799c-4ab6-b895-9828498fcbd2,Shipment 46,Chicago Facility,St. Louis Facility,location-chicago,location-st_louis,2024-04-09,2024-04-26,"41.893911,-87.735365","38.684780,-90.216816",vehicle-046,Vehicle 46,10000,Scheduled
25000,8c0fd2ca-d2d7-4cd2-8a92-fdcb7b0f25ba,Shipment 47,Chicago Facility,New York Facility,location-chicago,location-new_york,2024-04-10,2024-04-26,"41.893911,-87.735365","40.729498,-73.707367",vehicle-047,Vehicle 47,11000,Scheduled
15000,8d1a6472-b440-4794-a372-025c0c268225,Shipment 48,Chicago Facility,New York Facility,location-chicago,location-new_york,2024-04-10,2024-04-17,"41.893911,-87.735365","40.729498,-73.707367",vehicle-048,Vehicle 48,5000,Scheduled
20000,8e00ee3b-908a-440e-9bfa-f6da6122ef92,Shipment 49,St. Louis Facility,New York Facility,location-st_louis,location-new_york,2024-04-10,2024-04-24,"38.684780,-90.216816","40.729498,-73.707367",vehicle-049,Vehicle 49,10000,Scheduled
20000,8ef1efc2-54b3-492e-81f6-b21eb4254b65,Shipment 50,Houston Facility,Chicago Facility,location-houston,location-chicago,2024-04-08,2024-04-17,"29.847678,-95.584652","41.893911,-87.735365",vehicle-050,Vehicle 50,9000,Scheduled
35000,904b8746-6aab-4742-838c-f39fd47f61a0,Shipment 51,Houston Facility,Chicago Facility,location-houston,location-chicago,2024-04-07,2024-04-21,"29.847678,-95.584652","41.893911,-87.735365",vehicle-051,Vehicle 51,22000,Scheduled
20000,9969ac6a-38c2-4712-8304-742273c56f14,Shipment 52,Houston Facility,New York Facility,location-houston,location-new_york,2024-04-10,2024-04-19,"29.847678,-95.584652","40.729498,-73.707367",vehicle-052,Vehicle 52,11000,Scheduled
25000,9b42e1ae-d67b-4de7-9129-b46b8d51f11c,Shipment 53,St. Louis Facility,New York Facility,location-st_louis,location-new_york,2024-04-09,2024-04-27,"38.684780,-90.216816","40.729498,-73.707367",vehicle-053,Vehicle 53,18000,Scheduled
20000,9c0b0c4a-f7c7-4f67-930f-23894cd0a422,Shipment 54,St. Louis Facility,Houston Facility,location-st_louis,location-houston,2024-04-08,2024-04-19,"38.684780,-90.216816","29.847678,-95.584652",vehicle-054,Vehicle 54,7000,Scheduled
15000,9fe3811a-2052-4aff-9fb2-1f0f35938b49,Shipment 55,Chicago Facility,New York Facility,location-chicago,location-new_york,2024-04-10,2024-04-22,"41.893911,-87.735365","40.729498,-73.707367",vehicle-055,Vehicle 55,5000,Scheduled
35000,a021a0f8-1447-4c53-812e-0d019237f66e,Shipment 56,St. Louis Facility,Houston Facility,location-st_louis,location-houston,2024-04-10,2024-04-25,"38.684780,-90.216816","29.847678,-95.584652",vehicle-056,Vehicle 56,16000,Scheduled
15000,a03442df-29e5-44fc-ad8a-07553c198499,Shipment 57,St. Louis Facility,New York Facility,location-st_louis,location-new_york,2024-04-09,2024-04-21,"38.684780,-90.216816","40.729498,-73.707367",vehicle-057,Vehicle 57,5000,Scheduled
10000,a2c38fc9-0646-4f4d-ad6f-41964dd231a1,Shipment 58,Houston Facility,New York Facility,location-houston,location-new_york,2024-04-08,2024-04-23,"29.847678,-95.584652","40.729498,-73.707367",vehicle-058,Vehicle 58,1000,Scheduled
15000,a81da412-ddf9-40ea-9755-1d560768ce03,Shipment 59,St. Louis Facility,New York Facility,location-st_louis,location-new_york,2024-04-08,2024-04-24,"38.684780,-90.216816","40.729498,-73.707367",vehicle-059,Vehicle 59,8000,Scheduled
30000,b4b222b3-cca6-490f-922c-cdf493c7de64,Shipment 60,Houston Facility,New York Facility,location-houston,location-new_york,2024-04-08,2024-04-23,"29.847678,-95.584652","40.729498,-73.707367",vehicle-060,Vehicle 60,21000,Scheduled
15000,b55d6037-0ffb-4cc6-a749-c0d0ccd65c09,Shipment 61,Houston Facility,New York Facility,location-houston,location-new_york,2024-04-09,2024-04-21,"29.847678,-95.584652","40.729498,-73.707367",vehicle-061,Vehicle 61,6000,Scheduled
10000,bb68551d-9f0b-43ac-a4cd-44037ca88172,Shipment 62,Houston Facility,Chicago Facility,location-houston,location-chicago,2024-04-09,2024-04-24,"29.847678,-95.584652","41.893911,-87.735365",vehicle-062,Vehicle 62,4000,Scheduled
15000,bcf72da0-c48e-440b-a6d7-5a0ecc415001,Shipment 63,Houston Facility,New York Facility,location-houston,location-new_york,2024-04-08,2024-04-25,"29.847678,-95.584652","40.729498,-73.707367",vehicle-063,Vehicle 63,6000,Scheduled
15000,c1d77968-1b83-4139-82ec-d95a8441518e,Shipment 64,Houston Facility,New York Facility,location-houston,location-new_york,2024-04-09,2024-04-20,"29.847678,-95.584652","40.729498,-73.707367",vehicle-064,Vehicle 64,9000,Scheduled
25000,c92ece52-6e5c-4ae0-b6c8-10dace788591,Shipment 65,St. Louis Facility,New York Facility,location-st_louis,location-new_york,2024-04-11,2024-04-23,"38.684780,-90.216816","40.729498,-73.707367",vehicle-065,Vehicle 65,9000,Scheduled
25000,cb597ab3-a8f2-4a19-b5c6-71b39fad0e9b,Shipment 66,Houston Facility,St. Louis Facility,location-houston,location-st_louis,2024-04-09,2024-04-28,"29.847678,-95.584652","38.684780,-90.216816",vehicle-066,Vehicle 66,17000,Scheduled
20000,cbade11f-bf87-49af-9c29-5931e1238299,Shipment 67,New York Facility,Chicago Facility,location-new_york,location-chicago,2024-04-10,2024-04-25,"40.729498,-73.707367","41.893911,-87.735365",vehicle-067,Vehicle 67,10000,Scheduled
10000,cc6f5644-b4f9-468d-88fa-fa0b5830b7b9,Shipment 68,St. Louis Facility,Chicago Facility,location-st_louis,location-chicago,2024-04-10,2024-04-22,"38.684780,-90.216816","41.893911,-87.735365",vehicle-068,Vehicle 68,4000,Scheduled
15000,d710e6d3-7388-4c7a-8e27-ba877c9b0cfe,Shipment 69,Houston Facility,New York Facility,location-houston,location-new_york,2024-04-08,2024-04-23,"29.847678,-95.584652","40.729498,-73.707367",vehicle-069,Vehicle 69,7000,Scheduled
50000,d9c16281-3c0b-4741-9b4c-9f02505a0436,Shipment 70,Houston Facility,Chicago Facility,location-houston,location-chicago,2024-04-08,2024-04-22,"29.847678,-95.584652","41.893911,-87.735365",vehicle-070,Vehicle 70,22000,Scheduled
10000,ddaee965-8f34-4ec4-94ef-daa5470d1aaa,Shipment 71,Houston Facility,New York Facility,location-houston,location-new_york,2024-04-09,2024-04-21,"29.847678,-95.584652","40.729498,-73.707367",vehicle-071,Vehicle 71,4000,Scheduled
20000,deb41e51-af2b-4e0c-9ac7-5151c52b3e6e,Shipment 72,St. Louis Facility,Chicago Facility,location-st_louis,location-chicago,2024-04-09,2024-04-22,"38.684780,-90.216816","41.893911,-87.735365",vehicle-072,Vehicle 72,11000,Scheduled
45000,e59951ce-65e3-4855-b8c7-6fdeffb463de,Shipment 73,Houston Facility,New York Facility,location-houston,location-new_york,2024-04-09,2024-04-23,"29.847678,-95.584652","40.729498,-73.707367",vehicle-073,Vehicle 73,23000,Scheduled
15000,e624edda-68d8-40cd-a699-5a8cd76f8c95,Shipment 74,New York Facility,Chicago Facility,location-new_york,location-chicago,2024-04-08,2024-04-21,"40.729498,-73.707367","41.893911,-87.735365",vehicle-074,Vehicle 74,6000,Scheduled
20000,e73c5e8f-cf4a-4f0a-af1d-8ab493f46e6b,Shipment 75,Chicago Facility,Houston Facility,location-chicago,location-houston,2024-04-08,2024-04-26,"41.893911,-87.735365","29.847678,-95.584652",vehicle-075,Vehicle 75,8000,Scheduled
10000,eaaa336a-bf81-4534-8468-6e71224f9b7f,Shipment 76,Chicago Facility,Houston Facility,location-chicago,location-houston,2024-04-09,2024-04-29,"41.893911,-87.735365","29.847678,-95.584652",vehicle-076,Vehicle 76,1000,Scheduled
30000,ecc02994-936d-48cc-84b9-7f8b74850799,Shipment 77,Chicago Facility,St. Louis Facility,location-chicago,location-st_louis,2024-04-10,2024-04-25,"41.893911,-87.735365","38.684780,-90.216816",vehicle-077,Vehicle 77,23000,Scheduled
25000,efa5c7c6-70ae-43b9-9627-298c467a3152,Shipment 78,Houston Facility,St. Louis Facility,location-houston,location-st_louis,2024-04-09,2024-04-17,"29.847678,-95.584652","38.684780,-90.216816",vehicle-078,Vehicle 78,17000,Scheduled
15000,efb2b81c-d85c-4a42-84ce-c21c270d304d,Shipment 79,New York Facility,Houston Facility,location-new_york,location-houston,2024-04-11,2024-04-23,"40.729498,-73.707367","29.847678,-95.584652",vehicle-079,Vehicle 79,7000,Scheduled
30000,f23ea64d-d582-455b-8508-138ad8c175f3,Shipment 80,Houston Facility,Chicago Facility,location-houston,location-chicago,2024-04-08,2024-04-23,"29.847678,-95.584652","41.893911,-87.735365",vehicle-080,Vehicle 80,21000,Scheduled
45000,f2d7435f-37dc-4a92-9d00-803dcd99ff18,Shipment 81,Houston Facility,New York Facility,location-houston,location-new_york,2024-04-09,2024-04-24,"29.847678,-95.584652","40.729498,-73.707367",vehicle-081,Vehicle 81,23000,Scheduled
35000,f8a4f478-8748-4fdc-82e2-4b93bb835502,Shipment 82,St. Louis Facility,Houston Facility,location-st_louis,location-houston,2024-04-09,2024-04-20,"38.684780,-90.216816","29.847678,-95.584652",vehicle-082,Vehicle 82,14000,Scheduled
30000,f9f4ef47-f513-4bcf-aeb2-f91edcee3b2b,Shipment 83,St. Louis Facility,Chicago Facility,location-st_louis,location-chicago,2024-04-08,2024-04-23,"38.684780,-90.216816","41.893911,-87.735365",vehicle-083,Vehicle 83,19000,Scheduled
